213 MHz crystal, SMT03 RF Gen
NMRave.xls
Unused
NMRave.xls
Unused
TEQ3559937015.csv




35609.0000
70473.5725
  213.0000
    0.0040
  201.0000
    1.0000
   27.3800
    3.2940
    1.2560
    2.7951
    6.9000
    9.6682
    0.3700
    1.0000
    2.0000
    1.0000
    0.0000
    0.1015
    1.0000
  212.9766
    0.0000
    9.0000
   10.0000
    0.0000
    0.0000
    0.0390
    0.0390
    0.0380
    0.0370
    0.0380
    0.0370
    0.0360
    0.0350
    0.0340
    0.0330
    0.0320
    0.0310
    0.0310
    0.0300
    0.0280
    0.0270
    0.0270
    0.0260
    0.0250
    0.0240
    0.0230
    0.0230
    0.0220
    0.0220
    0.0210
    0.0200
    0.0190
    0.0180
    0.0170
    0.0160
    0.0160
    0.0150
    0.0150
    0.0140
    0.0130
    0.0120
    0.0110
    0.0110
    0.0100
    0.0100
    0.0090
    0.0080
    0.0080
    0.0070
    0.0060
    0.0060
    0.0050
    0.0050
    0.0050
    0.0040
    0.0040
    0.0030
    0.0030
    0.0020
    0.0020
    0.0020
    0.0020
    0.0020
    0.0020
    0.0010
    0.0010
    0.0000
    0.0000
   -0.0000
   -0.0000
   -0.0000
    0.0000
    0.0010
    0.0010
    0.0010
    0.0010
    0.0020
    0.0030
    0.0030
    0.0040
    0.0060
    0.0060
    0.0080
    0.0090
    0.0120
    0.0160
    0.0200
    0.0250
    0.0310
    0.0400
    0.0490
    0.0600
    0.0720
    0.0830
    0.0890
    0.0880
    0.0800
    0.0680
    0.0560
    0.0470
    0.0410
    0.0380
    0.0360
    0.0350
    0.0330
    0.0310
    0.0280
    0.0250
    0.0230
    0.0220
    0.0210
    0.0220
    0.0240
    0.0270
    0.0300
    0.0310
    0.0300
    0.0270
    0.0230
    0.0190
    0.0150
    0.0120
    0.0110
    0.0100
    0.0090
    0.0090
    0.0090
    0.0090
    0.0100
    0.0090
    0.0080
    0.0070
    0.0050
    0.0040
    0.0020
    0.0010
    0.0010
    0.0010
    0.0010
    0.0020
    0.0030
    0.0040
    0.0050
    0.0070
    0.0080
    0.0080
    0.0080
    0.0080
    0.0090
    0.0090
    0.0080
    0.0080
    0.0070
    0.0060
    0.0050
    0.0040
    0.0040
    0.0050
    0.0060
    0.0060
    0.0070
    0.0070
    0.0070
    0.0060
    0.0060
    0.0060
    0.0060
    0.0060
    0.0070
    0.0070
    0.0080
    0.0080
    0.0080
    0.0080
    0.0100
    0.0120
    0.0130
    0.0150
    0.0160
    0.0180
    0.0190
    0.0200
    0.0200
    0.0210
    0.0220
    0.0220
    0.0230
    0.0240
    0.0250
    0.0260
    0.0280
    0.0300
    0.0320
    0.0330
    0.0350
    0.0360
    0.0360
    0.0360
    0.0370
    0.0380
    0.0390
    0.0410
    0.0420
    0.0440
    0.0450
    0.0450
213 MHz crystal, SMT03 RF Gen
NMRave.xls
Unused
NMRave.xls
Unused
TEQ3559937015.csv




35609.0000
70474.0545
  213.0000
    0.0040
  201.0000
    2.0000
   27.3800
    3.2940
    1.2560
    2.7951
    6.9000
    9.4109
    0.3700
    1.0000
    2.0000
    1.0000
    0.0000
    0.0988
    1.0000
  212.9780
    0.0000
    9.0000
   10.0000
    0.0000
    0.0000
    0.0410
    0.0420
    0.0420
    0.0420
    0.0410
    0.0410
    0.0400
    0.0380
    0.0380
    0.0360
    0.0360
    0.0340
    0.0330
    0.0320
    0.0320
    0.0310
    0.0300
    0.0290
    0.0280
    0.0270
    0.0270
    0.0270
    0.0250
    0.0240
    0.0230
    0.0230
    0.0210
    0.0210
    0.0200
    0.0200
    0.0190
    0.0180
    0.0170
    0.0170
    0.0160
    0.0150
    0.0140
    0.0130
    0.0120
    0.0120
    0.0120
    0.0110
    0.0110
    0.0100
    0.0090
    0.0090
    0.0090
    0.0070
    0.0070
    0.0050
    0.0050
    0.0060
    0.0060
    0.0050
    0.0050
    0.0050
    0.0040
    0.0030
    0.0020
    0.0020
    0.0020
    0.0020
    0.0030
    0.0030
    0.0020
    0.0020
    0.0030
    0.0020
    0.0030
    0.0040
    0.0040
    0.0030
    0.0040
    0.0050
    0.0050
    0.0060
    0.0080
    0.0110
    0.0120
    0.0150
    0.0180
    0.0220
    0.0260
    0.0320
    0.0400
    0.0490
    0.0600
    0.0720
    0.0820
    0.0890
    0.0880
    0.0810
    0.0690
    0.0570
    0.0470
    0.0410
    0.0380
    0.0360
    0.0360
    0.0340
    0.0320
    0.0290
    0.0260
    0.0240
    0.0230
    0.0240
    0.0250
    0.0270
    0.0290
    0.0320
    0.0330
    0.0330
